[A11Y-INVENTORY] state=p001-filter-empty | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=BLE TOOLKIT+ | frame=(18.0, 70.0, 100.0, 12.0)
[A11Y-INVENTORY] state=p001-filter-empty | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=扫描 | frame=(51.0, 891.0, 20.0, 12.0)
[A11Y-INVENTORY] state=p001-filter-empty | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=3 | frame=(177.33333333333334, 861.5, 6.333333333333314, 11.0)
[A11Y-INVENTORY] state=p001-filter-empty | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=筛选 | frame=(400.0, 184.0, 24.0, 44.0)
[A11Y-INVENTORY] state=p001-filter-empty | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=开始扫描 | frame=(321.6666564941406, 144.9755401611328, 84.33334350585938, 18.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=Mi Smart Band 8 | frame=(88.0, 639.0, 121.0, 18.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=EF:6B:12:0C:AA:77 | frame=(88.0, 810.0, 105.33333333333334, 12.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=D8:A6:3A:41:F2:09 | frame=(88.0, 660.0, 105.33333333333334, 12.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=连接 | frame=(195.6666717529297, 715.4131469726562, 49.666656494140625, 15.66668701171875)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=未 | frame=(45.5, 800.8333333333334, 17.0, 20.333333333333258)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=未命名 BLE · A:77 | frame=(88.0, 789.0, 124.33333333333334, 18.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=-78 dBm | frame=(114.0, 827.0, 43.333333333333314, 12.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=-66 dBm | frame=(114.0, 677.0, 43.333333333333314, 12.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 65536) | Dynamic Type font sizes are partially unsupported | label=M | frame=(46.333333333333336, 650.8333333333334, 15.333333333333329, 20.33333333333337)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=开始扫描 | frame=(321.6666564941406, 144.9755401611328, 84.33334350585938, 18.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=[-60] | frame=(203.75, 269.1666666666667, 31.0, 12.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=SHID-9F3E2A1C | frame=(88.0, 489.0, 119.66666666666666, 18.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=未命名 BLE · A:77 | frame=(88.0, 789.0, 124.33333333333334, 18.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=[-70] | frame=(281.25, 269.1666666666667, 31.0, 12.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=[-85] | frame=(358.75, 269.1666666666667, 31.0, 12.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=配置 Smart HID | frame=(64.66666412353516, 565.1666870117188, 120.33333587646484, 15.66668701171875)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 131072) | Text clipped | label=[-40] | frame=(126.25, 269.1666666666667, 31.0, 12.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=BLE TOOLKIT+ | frame=(18.0, 70.0, 100.0, 12.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=扫描 | frame=(51.0, 891.0, 20.0, 12.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=3 | frame=(177.33333333333334, 861.5, 6.333333333333314, 11.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=收起筛选 | frame=(376.0, 184.0, 48.0, 44.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=S | frame=(48.166666666666664, 500.8333333333333, 11.666666666666671, 20.333333333333314)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=Smart HID · 强匹配 | frame=(220.66666666666666, 492.0, 91.66666666666666, 12.0)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=M | frame=(46.333333333333336, 650.8333333333334, 15.333333333333329, 20.33333333333337)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 1) | Contrast failed | label=未 | frame=(45.5, 800.8333333333334, 17.0, 20.333333333333258)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=配置 Smart HID | frame=(64.66666412353516, 565.1666870117188, 120.33333587646484, 15.66668701171875)
[A11Y-INVENTORY] state=p001-filter-expanded | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=连接 | frame=(195.6666717529297, 715.4131469726562, 49.666656494140625, 15.66668701171875)
[A11Y-INVENTORY] state=p001-scan-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=BLE TOOLKIT+ | frame=(18.0, 70.0, 100.0, 12.0)
[A11Y-INVENTORY] state=p001-scan-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=扫描 | frame=(51.0, 891.0, 20.0, 12.0)
[A11Y-INVENTORY] state=p001-scan-failed | XCUIAccessibilityAuditType(rawValue: 1) | Contrast nearly passed | label=3 | frame=(177.33333333333334, 861.5, 6.333333333333314, 11.0)
