ADV-DUMP start dur=15s filter=(none)
EVENTS: 167  UNIQUE-ADDRESSES: 11
10B41DCD238D n=61 rssi=-35/-55 name=[BLEToolkit-Server] conn=1 uuids=4fafc201 mfr=00E0:4C69676874424C45
57CC438C9EFF n=27 rssi=-50/-68 name=[] conn=1 uuids=0000fdaa mfr=038F:2C1134366E4B103041A201152629FF1757010302
0287C3B6A710 n=21 rssi=-55/-77 name=[] conn=0 uuids=- mfr=0006:01092002187E606BAEACE8DE21C90646D471DE2FB8CA7D5377A740
13F6D9CA577B n=18 rssi=-60/-82 name=[] conn=0 uuids=- mfr=0006:01092002ABDD9EEBAE13C67F5ADA0F808499BC49A4E884208A994F
2E36D9F8BB5D n=17 rssi=-70/-85 name=[] conn=0 uuids=- mfr=0006:01092022AB36B4F851531B062B54EA4A0E8560BA013BFAD455DCC3
3D92ED456233 n=9 rssi=-85/-91 name=[] conn=0 uuids=- mfr=0006:01092002F4E6A31EAB76C2DD43C0CE5B9531D50843195CC714478D
6FB0105A2A26 n=4 rssi=-86/-91 name=[] conn=0 uuids=- mfr=0006:010920028C0925D974FAA3F3E481684D40227AF201B0215C0DF05E
687984D729D9 n=4 rssi=-86/-91 name=[] conn=0 uuids=- mfr=0006:010920021AD709C9A125C6079A7AEE0E6737684A53CDC2FD95C7D4
42A6E3EA2B31 n=3 rssi=-92/-92 name=[] conn=1 uuids=- mfr=027D:0F04
4DCC756B678F n=2 rssi=-66/-75 name=[] conn=0 uuids=- mfr=004C:160800B4B50124E33009
2134C43611C3 n=1 rssi=-56/-56 name=[] conn=0 uuids=- mfr=0006:01092002C0382393127DEB4FA86B62EDCAF1FC12EE26C7687B31BD
ADV-DUMP end
