TitleBar		[187,155,1776x42]
MenuBar	系统	[163,163,33x33]
MenuItem	系统	[163,163,33x33]
Button	最小化	[1752,153,71x44]
Button	最大化	[1823,153,70x44]
Button	关闭	[1893,153,71x44]
Text	PERIPHERAL	[190,209,1746x18]
Text	广播	[190,231,1494x37]
Text	平台：Desktop	[1698,240,116x20]
Text	未就绪	[1870,239,50x20]
Pane		[163,288,1800x1163]
Text	设备名称	[212,314,1700x22]
Edit		[212,345,1700x63]
Text	服务 UUID	[212,426,1700x21]
Edit		[212,457,1700x63]
Text	厂商 ID（HEX）	[212,538,1700x22]
Edit		[212,569,1700x63]
Text	厂商数据（ASCII）	[212,650,1700x22]
Edit		[212,681,1700x63]
Text	ADV 负载预算	[233,798,1561x19]
Text	24	[1794,794,25x27]
Text	/ 31 字节	[1825,797,68x20]
Text	完整名称 (0x09)	[231,883,1627x20]
Text	13 B	[1858,883,37x20]
Text	服务 UUID (0x03/0x07)	[231,903,1635x19]
Text	4 B	[1866,903,28x19]
Text	厂商块 (0xFF = 2+2+3)	[231,923,1636x20]
Text	7 B	[1867,923,28x20]
Text	合计	[231,943,1582x20]
Text	24 / 31 B	[1813,943,82x20]
Button	开始广播	[212,999,180x60]
Text	开始广播	[274,1015,91x28]
Button	检查支持	[405,999,183x60]
Text	检查支持	[469,1015,90x28]
Text	通信日志	[241,1132,72x22]
Button	清空	[1833,1119,83x48]
Text	清空	[1855,1131,39x24]
Pane		[0,0,0x0]
List		[0,0,0x0]
Button	扫描	[175,1458,444x66]
Text	扫描	[383,1500,30x19]
Button	已连接	[619,1458,444x66]
Text	已连接	[819,1500,45x19]
Button	广播	[1063,1458,444x66]
Text	广播	[1271,1500,30x19]
Button	关于	[1507,1458,444x66]
Text	关于	[1715,1500,30x19]
