TitleBar		[75,33,1776x42]
MenuBar	系统	[51,41,33x33]
MenuItem	系统	[51,41,33x33]
Button	最小化	[1640,31,71x44]
Button	最大化	[1711,31,70x44]
Button	关闭	[1781,31,71x44]
Text	PERIPHERAL	[78,87,1746x18]
Text	广播	[78,109,1407x37]
Text	平台：Desktop · Windows	[1499,118,203x20]
Text	未就绪	[1758,117,50x20]
Pane		[51,166,1800x1163]
Text	设备名称	[100,210,1700x22]
Edit		[100,241,1700x63]
Text	服务 UUID	[100,322,1700x22]
Edit		[100,353,1700x63]
Text	厂商 ID（HEX）	[100,434,1700x22]
Edit		[100,465,1700x63]
Text	厂商数据（ASCII）	[100,546,1700x22]
Edit		[100,577,1700x63]
Text	ADV 负载预算	[121,694,1561x19]
Text	24	[1682,690,25x27]
Text	/ 31 字节	[1713,693,68x20]
Text	完整名称 (0x09)	[119,779,1627x20]
Text	13 B	[1746,779,37x20]
Text	服务 UUID (0x03/0x07)	[119,799,1635x19]
Text	4 B	[1754,799,28x19]
Text	厂商块 (0xFF = 2+2+3)	[119,819,1636x20]
Text	7 B	[1755,819,28x20]
Text	合计	[119,839,1582x20]
Text	24 / 31 B	[1701,839,82x20]
Button	开始广播	[100,913,180x60]
Text	开始广播	[162,929,91x28]
Button	检查支持	[293,913,183x60]
Text	检查支持	[357,929,90x28]
Text	通信日志	[129,1046,72x22]
Button	清空	[1721,1033,83x48]
Text	清空	[1743,1045,39x24]
Pane		[0,0,0x0]
List		[0,0,0x0]
Button	扫描	[63,1336,444x66]
Text	扫描	[271,1378,30x19]
Button	已连接	[507,1336,444x66]
Text	已连接	[707,1378,45x19]
Button	广播	[951,1336,444x66]
Text	广播	[1159,1378,30x19]
Button	关于	[1395,1336,444x66]
Text	关于	[1603,1378,30x19]
