TitleBar		[339,307,1776x42]
MenuBar	系统	[315,315,33x33]
MenuItem	系统	[315,315,33x33]
Button	最小化	[1904,305,71x44]
Button	最大化	[1975,305,70x44]
Button	关闭	[2045,305,71x44]
Button	返回	[336,361,45x45]
Text	GATT 调试	[396,368,127x31]
Pane		[339,441,1302x1144]
Text	SHID-00000001	[396,467,1219x31]
Text	10B41DCD238E	[396,501,99x18]
Text	 · 	[495,501,25x18]
Text	已连接	[520,501,45x18]
Button	断开连接	[364,537,1251x60]
Text	断开连接	[962,553,90x28]
Text	服务与特征	[386,661,128x31]
Text	1 服务 / 3 特征	[538,666,107x20]
Button	全部展开	[1476,659,78x34]
Text	全部展开	[1479,665,72x22]
Button	全部收起	[1560,659,78x34]
Text	全部收起	[1563,665,72x22]
List		[339,708,1302x442]
Button	未知服务	[341,710,1298x64]
Text	未知服务	[402,728,90x28]
Text	9f1d1001…	[520,733,75x18]
List		[341,776,1298x354]
Text	未知特征值	[362,791,1099x26]
Text	read	[1484,794,36x20]
Text	notify	[1557,794,47x20]
Button	读取	[362,828,83x48]
Text	读取	[384,840,39x24]
Button	开始监听	[454,828,122x48]
Text	开始监听	[476,840,77x24]
Text	未知特征值	[362,909,1178x26]
Text	write	[1563,912,41x20]
Button	写入	[362,947,83x48]
Text	写入	[384,959,39x24]
Text	未知特征值	[362,1027,1099x26]
Text	read	[1484,1030,36x20]
Text	notify	[1557,1030,47x20]
Button	读取	[362,1065,83x48]
Text	读取	[384,1077,39x24]
Button	开始监听	[454,1065,122x48]
Text	开始监听	[476,1077,77x24]
Text	桌面布局（SOP §12 圈内调整）：右栏日志常驻 · 左区设备/服务/操作，流程与数据模型同基准。	[1662,441,426x37]
Text	通信日志	[1714,520,72x22]
Button	清空	[1857,507,83x48]
Text	清空	[1880,519,39x24]
Button	导出	[1953,507,118x48]
Text	导出	[2010,518,39x26]
Pane		[1662,571,429x300]
List		[1662,571,429x300]
Text	13:55:10	[1682,579,73x20]
Text	系统	[1776,580,30x19]
Text	发现 1 个服务 / 3 特征	[1827,579,244x20]
Text	13:55:10	[1682,615,73x20]
Text	成功	[1776,616,30x19]
Text	设备已连接	[1827,615,244x20]
Text	13:55:08	[1682,651,73x20]
Text	系统	[1776,652,30x19]
Text	正在连接设备…	[1827,651,244x20]
Text	13:55:06	[1682,687,73x20]
Text	系统	[1776,688,30x19]
Text	扫描已自动停止（5秒）	[1827,687,244x20]
Button	扫描	[327,1610,444x66]
Text	扫描	[535,1652,30x19]
Button	已连接	[771,1610,444x66]
Text	已连接	[971,1652,45x19]
Text	1	[1007,1614,12x24]
Button	广播	[1215,1610,444x66]
Text	广播	[1423,1652,30x19]
Button	关于	[1659,1610,444x66]
Text	关于	[1867,1652,30x19]
Text	写入数据	[1167,827,96x30]
Text	9f1d1003-e73b-4c8f-9d2a-6f0b5e8a1c04	[1066,851,298x18]
Button	HEX	[1024,891,189x45]
Text	HEX	[1100,903,38x22]
Button	UTF-8	[1216,891,190x45]
Text	UTF-8	[1282,903,57x22]
Edit		[1020,955,390x126]
Button	单次	[1024,1103,126x45]
Text	单次	[1069,1115,36x22]
Button	批量	[1154,1103,123x45]
Text	批量	[1198,1115,36x22]
Button	循环	[1281,1103,125x45]
Text	循环	[1325,1115,36x22]
Button	取消	[1020,1173,188x57]
Text	取消	[1092,1187,45x28]
Button	确认写入	[1222,1173,188x57]
Text	确认写入	[1288,1187,91x28]
